LA,ESTAB,URN,PERCTOT,PPERSABS10
204,2898,131141,4.8,10.1
204,2899,131706,4.6,10.5
204,2900,133669,6.4,23.8
204,3000,132137,3.1,4.5
204,3358,100263,5.8,17
204,3371,100264,5.9,15.8
204,3458,100266,5.5,15.8
204,3543,100267,6.9,27.4
204,3553,100268,5,10.6
204,3572,100269,6,19.4
204,3616,100270,6.4,23.8
204,3618,100271,5.9,18.9
204,3659,100274,6.1,20.1
204,3663,100275,9.3,31.1
204,3664,145610,6.4,17.8
204,3665,142255,4.2,9.5
204,3666,121792,5.1,10.4
204,4000,145609,10.6,35.4
204,4003,140210,3.8,9.2
204,4005,143756,7.5,21.4
204,4006,147653,7.2,23.2
204,4283,149901,8.9,23.9
204,4302,137442,7.6,21.1
204,4310,100279,8,23.2
204,4318,133599,5.9,15.1
204,4641,100282,8.1,25
204,4697,100284,10.2,30.3
204,4714,100285,7.5,23.5
204,6905,134693,4.6,10.8
204,6906,131062,7.8,23.5
204,6907,131609,8,23.3
204,6908,135835,6.8,19.7
204,6909,136137,9.8,32.3
204,7097,100307,9,31.9
204,7161,100311,7.7,24.7
204,7171,100312,11.1,35.8
205,2000,137331,6.1,14.9
205,2001,139546,4.4,8.7
205,2002,100321,7.4,25.5
205,2003,139820,7.4,22.9
205,2004,140811,4.9,12.6
205,2005,141685,4.4,6.8
205,2026,100322,7.2,20.9
205,2045,138680,5.9,15.6
205,2061,100324,7.3,24.7
205,2134,100326,5.9,14.9
205,2223,100328,7,22.2
205,2286,143213,6.9,19.9
205,2309,142256,6.7,22.8
205,2350,100331,5.7,16.8
205,2408,100334,6.4,17
205,2444,100335,8.2,23.2
205,2484,143212,8.1,24.2
205,2555,100338,5.9,18.1
205,2577,143214,7.2,25.2
205,2632,100340,6.1,17.3
205,2660,100341,7.9,27.2
205,2913,141902,5.3,19.7
205,3300,100344,6.2,17.7
205,3354,100345,4.3,8.3
205,3368,100346,3,2.7
205,3378,100347,4.2,8.4
205,3463,100349,5,11.4
205,3529,100350,6.9,21.3
205,3566,100351,6.5,20.9
205,3578,100352,3.6,4.9
205,3600,100353,4.4,7.2
205,3602,100354,3.8,4.9
205,3645,149641,4.7,8.8
